"","X410","X2965","X2990","X"
"1048",8463,3071,3076,2
"1049",8463,3125,3076,2
"1050",8463,3304,3076,2
"1051",8463,2194,3069,2
"1052",8463,2194,3076,2
"1053",8463,3072,3076,2
"1054",8463,3073,3076,2
"1055",8463,3073,3072,2
"1056",8463,3074,3076,2
"1057",29,5498,128,2
"1058",29,128,5498,2
"1059",3201,3670,3988,1
"1060",3201,3988,3670,1
"1061",3201,3988,3797,1
"1062",3201,3988,3576,2
"1063",3201,3988,1760,2
"1064",3201,3797,3988,1
"1065",3201,3576,3988,2
"1066",3201,3576,1760,2
"1067",3201,1760,3988,2
"1068",3201,1760,3576,2
"1069",341,49,176,2
"1070",341,87,156,2
"1071",341,87,176,2
"1072",341,100,196,2
"1073",341,156,87,2
"1074",341,156,176,2
"1075",341,176,87,2
"1076",341,176,156,2
"1077",341,176,178,2
"1078",341,176,196,2
"1079",341,178,49,2
"1080",341,196,100,2
"1081",341,196,176,2
"1082",17885,1783,1824,2
"1083",17885,1783,1850,2
"1084",17885,1785,1824,2
"1085",17885,2709,1824,2
"1086",17885,1794,1824,2
